area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,Census Place,2413225,"Carlos, MD",0.631995000,0.000000000,0.000000000,1.000000000,0.833333333,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2413325,"Carney, MD",18.327855000,0.000000000,0.000000000,1.000000000,0.994252874,0.994252874,0.931034483,0.977011494,0.839080460
Total,Census Place,2414125,"Catonsville, MD",37.182372500,0.000000000,0.000000000,1.000000000,0.920679887,0.957507082,0.912181303,0.892351275,0.824362606
Total,Census Place,2414225,"Cavetown, MD",5.055960000,0.000000000,0.000000000,1.000000000,0.979166667,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2414300,"Cearfoss, MD",0.421330000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2414325,"Cecilton, MD",1.474655000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.857142857
Total,Census Place,2414550,"Cedar Heights, MD",0.631995000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2414800,"Cedarville, MD",35.813050000,0.000000000,0.000000000,1.000000000,0.858823529,0.982352941,0.620588235,0.838235294,0.414705882
Total,Census Place,2414950,"Centreville, MD",7.057277500,0.000000000,0.000000000,1.000000000,0.985074627,1.000000000,0.865671642,0.985074627,0.850746269
Total,Census Place,2415075,"Chance, MD",7.057277500,0.000000000,0.000000000,1.000000000,0.910447761,0.701492537,0.537313433,0.671641791,0.507462687
Total,Census Place,2415400,"Charlestown, MD",3.054642500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2415475,"Charlotte Hall, MD",13.798557500,0.000000000,0.000000000,1.000000000,0.870229008,0.984732824,0.549618321,0.908396947,0.427480916
Total,Census Place,2415500,"Charlton, MD",0.315997500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2415925,"Chesapeake Beach, MD",7.899937500,0.000000000,0.000000000,1.000000000,0.986666667,1.000000000,0.720000000,0.973333333,0.506666667
Total,Census Place,2415950,"Chesapeake City, MD",1.895985000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2416025,"Chesapeake Landing, MD",3.159975000,0.000000000,0.000000000,0.800000000,0.000000000,0.033333333,0.000000000,0.000000000,0.000000000
Total,Census Place,2416050,"Chesapeake Ranch Estates, MD",12.639900000,0.000000000,0.000000000,1.000000000,0.550000000,0.925000000,0.650000000,0.825000000,0.441666667
Total,Census Place,2416125,"Chester, MD",18.327855000,0.000000000,0.000000000,1.000000000,0.982758621,0.982758621,0.821839080,0.908045977,0.551724138
Total,Census Place,2416225,"Chestertown, MD",8.637265000,0.000000000,0.000000000,1.000000000,1.000000000,0.951219512,0.939024390,0.951219512,0.792682927
Total,Census Place,2416550,"Cheverly, MD",3.791970000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2416620,"Chevy Chase, MD",1.053325000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2416625,"Chevy Chase, MD",6.741280000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.984375000,1.000000000,0.953125000
Total,Census Place,2416720,"Chevy Chase Section Five, MD",0.315997500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2416730,"Chevy Chase Section Three, MD",0.210665000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2416775,"Chevy Chase View, MD",0.421330000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.750000000
Total,Census Place,2416787,"Chevy Chase Village, MD",1.158657500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2416800,"Chewsville, MD",2.317315000,0.000000000,0.000000000,1.000000000,0.954545455,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2416875,"Chillum, MD",8.953262500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2417000,"Choptank, MD",0.631995000,0.000000000,0.000000000,1.000000000,0.500000000,1.000000000,0.000000000,0.666666667,0.000000000
Total,Census Place,2417050,"Church Creek, MD",0.947992500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.777777778,1.000000000,0.777777778
Total,Census Place,2417100,"Church Hill, MD",1.685320000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.687500000,1.000000000,0.687500000
Total,Census Place,2417350,"Clarksburg, MD",26.227792500,0.000000000,0.000000000,1.000000000,0.955823293,0.995983936,0.951807229,0.987951807,0.855421687
Total,Census Place,2417475,"Clarysville, MD",0.315997500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2417600,"Clear Spring, MD",0.315997500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.666666667
Total,Census Place,2417900,"Clinton, MD",66.570140000,0.000000000,0.000000000,1.000000000,0.939873418,0.996835443,0.833860759,0.941455696,0.656645570
Total,Census Place,2418150,"Cloverly, MD",26.543790000,0.000000000,0.000000000,1.000000000,0.960317460,1.000000000,0.857142857,0.936507937,0.714285714
Total,Census Place,2418200,"Cobb Island, MD",2.527980000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.958333333,1.000000000,0.958333333
Total,Census Place,2418250,"Cockeysville, MD",32.653075000,0.000000000,0.000000000,1.000000000,0.887096774,0.990322581,0.932258065,0.948387097,0.809677419
Total,Census Place,2418475,"Colesville, MD",13.693225000,0.000000000,0.000000000,1.000000000,0.969230769,1.000000000,0.892307692,0.938461538,0.746153846
Total,Census Place,2418750,"College Park, MD",15.167880000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.965277778
Total,Census Place,2418850,"Colmar Manor, MD",1.053325000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2419125,"Columbia, MD",85.635322500,0.000000000,0.000000000,1.000000000,0.958179582,0.988929889,0.940959410,0.960639606,0.888068881
Total,Census Place,2419825,"Coral Hills, MD",4.213300000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.925000000
Total,Census Place,2419900,"Cordova, MD",12.850565000,0.000000000,0.000000000,1.000000000,0.852459016,0.893442623,0.262295082,0.704918033,0.114754098
Total,Census Place,2419975,"Corriganville, MD",0.842660000,0.000000000,0.000000000,1.000000000,0.875000000,1.000000000,0.625000000,1.000000000,0.500000000
Total,Census Place,2420050,"Cottage City, MD",0.737327500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2420500,"Crellin, MD",1.895985000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.944444444
Total,Census Place,2420525,"Cresaptown, MD",7.373275000,0.000000000,0.000000000,1.000000000,0.985714286,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2420775,"Crisfield, MD",8.321267500,0.000000000,0.000000000,1.000000000,0.974683544,0.645569620,0.632911392,0.645569620,0.544303797
Total,Census Place,2420875,"Crofton, MD",17.590527500,0.000000000,0.000000000,1.000000000,0.988023952,1.000000000,0.922155689,0.964071856,0.838323353
Total,Census Place,2420925,"Croom, MD",95.009915000,0.000000000,0.000000000,1.000000000,0.764966741,0.891352550,0.613082040,0.743902439,0.437915743
Total,Census Place,2421075,"Crownsville, MD",13.482560000,0.000000000,0.000000000,1.000000000,0.726562500,0.960937500,0.726562500,0.773437500,0.625000000
Total,Census Place,2421150,"Crumpton, MD",2.738645000,0.000000000,0.000000000,1.000000000,0.538461538,0.884615385,0.038461538,0.730769231,0.038461538
Total,Census Place,2421325,"Cumberland, MD",26.438457500,0.000000000,0.000000000,1.000000000,0.992031873,1.000000000,1.000000000,1.000000000,0.940239044
Total,Census Place,2421475,"Damascus, MD",38.025032500,0.000000000,0.000000000,1.000000000,0.914127424,1.000000000,0.914127424,0.972299169,0.761772853
Total,Census Place,2421550,"Dames Quarter, MD",49.190277500,0.000000000,0.000000000,1.000000000,0.653104925,0.730192719,0.323340471,0.556745182,0.252676660
Total,Census Place,2421675,"Danville, MD",2.843977500,0.000000000,0.000000000,1.000000000,0.481481481,0.925925926,0.555555556,0.814814815,0.037037037
Total,Census Place,2421750,"Dargan, MD",0.947992500,0.000000000,0.000000000,1.000000000,0.111111111,0.666666667,0.333333333,0.333333333,0.222222222
Total,Census Place,2421800,"Darlington, MD",2.527980000,0.000000000,0.000000000,1.000000000,0.791666667,1.000000000,1.000000000,1.000000000,0.541666667
Total,Census Place,2421825,"Darnestown, MD",46.030302500,0.000000000,0.000000000,1.000000000,0.846681922,0.917620137,0.670480549,0.748283753,0.478260870
Total,Census Place,2421925,"Dawson, MD",1.579987500,0.000000000,0.000000000,1.000000000,0.066666667,0.666666667,0.133333333,0.266666667,0.000000000
Total,Census Place,2422050,"Deale, MD",15.799875000,0.000000000,0.000000000,1.000000000,0.960000000,0.973333333,0.740000000,0.913333333,0.673333333
Total,Census Place,2422100,"Deal Island, MD",14.957215000,0.000000000,0.000000000,1.000000000,0.901408451,0.598591549,0.556338028,0.598591549,0.556338028
Total,Census Place,2422275,"Deer Park, MD",2.633312500,0.000000000,0.000000000,1.000000000,0.720000000,1.000000000,0.640000000,0.920000000,0.360000000
Total,Census Place,2422600,"Delmar, MD",4.423965000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.976190476
Total,Census Place,2422725,"Denton, MD",14.430552500,0.000000000,0.000000000,1.000000000,0.897810219,0.992700730,0.715328467,0.875912409,0.503649635
Total,Census Place,2422775,"Derwood, MD",1.790652500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
